X,Y,OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D
-63.576628861364171,44.642441897045607,1283,GO,881190,2017-09-23T00:00:00.000Z,SPRING GARDEN RD / BIRMINGHAM ST,1430,ASSAULT
-63.258181750733463,44.693128294788188,1284,GO,881327,2017-09-23T00:00:00.000Z,CONROD RD,1430,ASSAULT
-63.580624658477781,44.653372418462418,1285,GO,881308,2017-09-23T00:00:00.000Z,BARRINGTON ST,1430,ASSAULT
-63.587999078663771,44.65779935887992,1286,GO,881207,2017-09-23T00:00:00.000Z,HAMILTON LANE,2142,THEFT FROM VEHICLE
-63.582788432299267,44.653138335893757,1287,GO,881176,2017-09-23T00:00:00.000Z,BRUNSWICK ST / CORNWALLIS ST,2142,THEFT FROM VEHICLE
-63.595082800430561,44.638051485286297,1288,GO,881701,2017-09-23T00:00:00.000Z,COBURG RD,1430,ASSAULT
-63.15884871371361,45.029387618110384,1289,GO,881334,2017-09-23T00:00:00.000Z,HIGHWAY 357,1430,ASSAULT
-63.583680889669424,44.691673676514576,1290,GO,881236,2017-09-23T00:00:00.000Z,HIGHFIELD PARK DR,2142,THEFT FROM VEHICLE
-63.584754612690865,44.682151446815567,1291,GO,881177,2017-09-23T00:00:00.000Z,PRIMROSE ST,1430,ASSAULT
-63.608769462030814,44.643981973338427,1292,GO,881270,2017-09-23T00:00:00.000Z,ARMCRESCENT EAST DR,2142,THEFT FROM VEHICLE
-63.647885371284168,44.738080752772923,1293,GO,881310,2017-09-23T00:00:00.000Z,SCOTIA DR,1430,ASSAULT
-63.579383867678118,44.634477807902712,1294,GO,881261,2017-09-23T00:00:00.000Z,WELLINGTON ST,1430,ASSAULT
-63.612495483386496,44.642674560400586,1295,GO,882532,2017-09-24T00:00:00.000Z,MACDONALD ST,1430,ASSAULT
-63.666361892200172,44.662314989679182,1296,GO,881473,2017-09-24T00:00:00.000Z,STRATFORD WAY,1430,ASSAULT
-63.60651802970559,44.599919624175186,1297,GO,881468,2017-09-24T00:00:00.000Z,HERRING COVE RD,1430,ASSAULT
-63.586321140697393,44.685693119460993,1298,GO,881447,2017-09-24T00:00:00.000Z,PINECREST DR,1420,ASSAULT
-63.614048208778684,44.672763918492429,1299,GO,881420,2017-09-24T00:00:00.000Z,NOVALEA DR,1430,ASSAULT
-63.631916606179949,44.654296837433222,1300,GO,881332,2017-09-24T00:00:00.000Z,DUTCH VILLAGE RD,1420,ASSAULT
-63.557197354944357,44.915131499833237,1301,GO,882122,2017-09-24T00:00:00.000Z,TURPLE LANE,2142,THEFT FROM VEHICLE
-63.467992376290262,44.60592663742414,1302,GO,881552,2017-09-24T00:00:00.000Z,CALDWELL RD,2142,THEFT FROM VEHICLE
-63.459218289263454,44.607267644006704,1303,GO,881548,2017-09-24T00:00:00.000Z,MURRAY RD,2142,THEFT FROM VEHICLE
-63.724180414851801,44.795061353712427,1304,GO,881534,2017-09-24T00:00:00.000Z,SACKVILLE DR,2142,THEFT FROM VEHICLE
-63.671155099536968,44.766551080653194,1305,GO,881517,2017-09-24T00:00:00.000Z,HOWLAND CRT,2142,THEFT FROM VEHICLE
-63.607993285285986,44.660895564998683,1306,GO,881515,2017-09-24T00:00:00.000Z,KEMPT RD,2132,THEFT FROM VEHICLE
